"","contcod","Gini-MI","Gini-MI-0","Gini-MI-0.5","Gini-MI-1","MLD-MI","MLD-MI-0","MLD-MI-0.5","MLD-MI-1","TheilT-MI","TheilT-MI-0","TheilT-MI-0.5","TheilT-MI-1","Mean-MI","Mean-MI-0","Mean-MI-0.5","Mean-MI-1","Bottom 50%-MI","Bottom 50%-MI-0","Bottom 50%-MI-0.5","Bottom 50%-MI-1","Middle 40%-MI","Middle 40%-MI-0","Middle 40%-MI-0.5","Middle 40%-MI-1","Top 10%-MI","Top 10%-MI-0","Top 10%-MI-0.5","Top 10%-MI-1","Top 1%-MI","Top 1%-MI-0","Top 1%-MI-0.5","Top 1%-MI-1"
"21","DNK",0.339011601313364,0.330712261530468,0.338294014547278,0.352839480045612,0.197147257020629,0.186140580976178,0.196494580583524,0.21595251012144,0.246929480173442,0.221048759146635,0.245552676263194,0.29406215487292,14557.4555477516,14283.346212156,14539.0633156921,14917.8572698793,0.283278327736013,0.276822256353021,0.283354621854566,0.287995977284884,0.319793830204667,0.31304317968268,0.319891041822668,0.32510575734292,0.289644664829494,0.278762456813854,0.289171914715637,0.303729306328766,0.0774356852467036,0.0670961183975222,0.0774589366282177,0.0914555848982582
"22","DOM",0.862264845838226,0.7798484506811,0.846115723684084,0.999708023734204,1.9150057060688,1.23363176419859,1.59021273577863,8.27440575311761,3.86458638247048,1.99651361384312,3.23357208332768,9.19540051464797,180281.842139794,7258.03219322938,10294.4572616293,8284505.88546873,0.0421986946720706,5.90111729793483e-05,0.0478109417464798,0.0664905072223466,0.0625560819616119,8.6924487971195e-05,0.0700256519825722,0.0992823704139742,0.830044562581644,0.725833738015084,0.810406736966738,0.999763059604486,0.642102290785189,0.425776552474105,0.60268303328506,0.999501862736294
"23","ECU",0.872474365055752,0.789227088676801,0.865364108959745,0.999755580187027,2.02850418182649,1.30323089252411,1.75734925659683,8.59670586739713,3.87428657410052,1.97616916489775,3.2973771915995,9.19453230822256,182452.280199301,5665.34151336691,8979.76418218727,8526807.98972739,0.0362065639211213,4.0357410486544e-05,0.0383022707541755,0.0606697970974418,0.0590130938461913,6.6112058017109e-05,0.0627717038294168,0.097906019321061,0.83757114073266,0.731694894744816,0.827743146397831,0.999816097931363,0.646214973855974,0.423900413092114,0.623396167275257,0.999582170979802
"24","EGY",0.453289547250998,0.440281028563042,0.453191723889929,0.467600535484865,0.342110351075213,0.320461029569782,0.341180523916508,0.365252254408495,0.504906868508703,0.457607760639243,0.502526715944938,0.549751950075102,1597.15507769176,1541.79899030087,1593.54355970244,1645.55370082154,0.224208875830702,0.217340318874104,0.224623228252961,0.229758933578549,0.24633489889862,0.239449668136455,0.246568089091805,0.251667471446774,0.406028566662942,0.390490466378663,0.404543611429896,0.42049659491157,0.138312763546879,0.125449853372438,0.137670521845351,0.151996848843615
"25","ESP",0.546800692062636,0.519369182166535,0.545891357030391,0.580690469240324,0.535043191989899,0.478430533350756,0.534374744109158,0.606944867212985,0.794349258911858,0.646793756277801,0.78987310704367,1.0013396554228,13073.1054005877,12332.5956967093,13018.6627086038,14290.9062556334,0.171804699022353,0.157448272956555,0.171875789380213,0.182498055424728,0.227764253378909,0.209571528649218,0.228603461115872,0.242161388772399,0.471274135889822,0.438327293529546,0.471431115137617,0.508213319129437,0.197601267550834,0.160058028676529,0.197141142574849,0.245159358248234
"26","EST",0.609071516622229,0.58347577800933,0.607927654874498,0.636409282991548,0.653106002438915,0.591614801888347,0.650424292440692,0.723153115784852,1.01509947827006,0.876135443093523,1.00870493419506,1.15508550295707,5606.63928768601,5271.79051638823,5580.10159454467,6094.40909577427,0.144966916515146,0.133786356449344,0.145547145736248,0.154650753031879,0.183267938399472,0.169550381135019,0.184316410789744,0.195391497328045,0.546913184639886,0.516058176037249,0.546113313129555,0.578162884007989,0.245710236460988,0.208869643378924,0.243850224639708,0.283154512691623
"27","FIN",0.316039804784514,0.306558349434951,0.315917594673496,0.3271352949221,0.169520748069169,0.158824130244277,0.169158728259757,0.181621506608769,0.215335637879163,0.192630920715332,0.215124857147062,0.240494028784154,12366.281734257,12165.9789911551,12350.233681193,12618.4967341962,0.298067304702925,0.291407152902887,0.298212711423307,0.302544939307602,0.322595825910991,0.31727779641764,0.322616821129205,0.32800345392777,0.277853011894295,0.268044766085897,0.277902330006631,0.286504853485954,0.0717577587560946,0.0635241140786293,0.0720029070911032,0.0810883402852455
"28","FRA",0.463593245864617,0.449541741495004,0.46295958573545,0.48071758996113,0.374813366313582,0.351288859799358,0.373853117421316,0.405259063283021,0.495698484945027,0.438873016465939,0.491114093541586,0.564344818451952,18371.5798560906,17783.5628340932,18372.1805317539,19027.8249794534,0.214020646255269,0.206373440615269,0.214035234180848,0.220893080123236,0.266521627639264,0.258038011163814,0.266714349570538,0.274059586823649,0.392590795890176,0.375140547675455,0.39154679204047,0.411879053111952,0.131333454265298,0.112398831028004,0.130011142656263,0.153416493524909
"29","GBR",0.536184661220457,0.498910415092859,0.523846197239648,0.902718615532491,0.5150449694314,0.421880109400286,0.472659378051758,2.05967895200029,0.905438767394099,0.56729924732049,0.718529644953955,6.99084575712663,17473.3241537581,15219.3067425484,16014.1136987879,78807.9681664391,0.176384626123759,0.0370252534742927,0.18124434909168,0.19161407236437,0.227694558913086,0.0476872147609024,0.233598521817451,0.245342770029326,0.462156628968885,0.421277925528832,0.448645181635045,0.887405780741049,0.201007750946357,0.141770327088385,0.178117796742592,0.831961324707938
"30","GIN",0.754044619008018,0.687241547880119,0.750552252408807,0.840111405715463,1.12906919409695,0.879984946981287,1.1047118592357,1.5468275936944,2.25160520813835,1.40730143487649,2.22178902832983,3.90957441383399,1294.64189517385,987.774219893639,1248.57604263827,1913.02455297044,0.0834414466691833,0.054729442522559,0.0845776227251783,0.106168206028673,0.116390253096443,0.0753696270555694,0.117760588921859,0.14851102206521,0.703687291328449,0.620571997547179,0.699419479331721,0.808755048283515,0.453941674619978,0.320463804354084,0.453197427750748,0.646948013503516
